Feature ID,Locus Name,Gene length,Chromosome region start,Chromosome region end,0 Hour Time Point Unique gene reads,Total gene reads,RPKM,6 Hour Time Point Unique gene reads,Total gene reads,RPKM,Fold Change in RPKM  0 to 6 hours ,12 Hour Time Point Unique gene reads,Total gene reads,RPKM,Fold Change in RPKM 0 to 12 hours,21 Hour Time Point Unique gene reads,Total gene reads,RPKM,Fold Change in RPKM 0 to 21 hours
alr4100,alr4100,838,4940531,4941369,102,102,7.102351672,88,88,6.647393095,-1.068441654,107,107,7.1995022,1.013678642,98,98,6.550550289,-1.084237409
all4760,all4760,1063,5672992,5674055,102,102,5.599031704,84,84,5.002173253,-1.119319828,20,20,1.060863338,-5.277806769,40,40,2.107766292,-2.656381652
all3859,all3859,1075,4657464,4658539,102,102,5.536530885,120,120,7.066192914,1.276285288,111,111,5.822067339,1.051573171,132,132,6.877984535,1.242291369
aroB (Nostoc_chromosome 2305759..2306951),alr1924,1192,2305759,2306951,102,102,4.993096226,94,94,4.991881949,-1.00024325,235,235,11.1161479,2.22630356,194,194,9.116354451,1.825791861
all2846,all2846,1723,3467093,3468816,102,102,3.454306849,58,58,2.130862489,-1.621083889,277,277,9.064778602,2.624196111,287,287,9.330229949,2.701042599
alr4715,alr4715,1852,5619659,5621511,102,102,3.213699083,102,102,3.48635733,1.084842495,181,181,5.510617947,1.714727423,177,177,5.35337926,1.665799791
alr3593,alr3593,2311,4343163,4345474,102,102,2.575409217,97,97,2.656956823,1.031663941,358,358,8.734655702,3.391560317,260,260,6.30186551,2.446937546
hetF,alr3546,2440,4273468,4275908,102,102,2.439250287,104,104,2.698088688,1.106113916,162,162,3.743586719,1.534728412,165,165,3.787824475,1.552864212
ftrV,asl2469,322,2966420,2966742,101,101,18.30254661,90,90,17.69291316,-1.034456364,133,133,23.2894096,1.272468258,125,125,21.74452221,1.188059928
alr2558,alr2558,562,3057526,3058088,101,101,10.48651247,72,72,8.109776565,-1.293070455,207,207,20.76809872,1.980458115,219,219,21.8274764,2.081480994
all1547,all1547,775,1806821,1807596,101,101,7.604412914,69,69,5.635858703,-1.349290909,222,222,16.15154165,2.123969573,220,220,15.90071694,2.090985473
all4375,all4375,904,5240521,5241425,101,101,6.519269921,111,111,7.772616791,1.192252643,667,667,41.60256551,6.38147615,467,467,28.9363786,4.438591891
alr4153,alr4153,925,4996977,4997902,101,101,6.371264874,39,39,2.668920161,-2.387206993,53,53,3.230701599,-1.972099459,33,33,1.998333345,-3.188289327
alr2472,alr2472,1069,2969713,2970782,101,101,5.513021523,77,77,4.559589324,-1.209104841,52,52,2.742763417,-2.010024448,43,43,2.253131184,-2.446826693
all3580,all3580,1264,4324781,4326045,101,101,4.662515829,75,75,3.756011364,-1.241347636,343,343,15.3006456,3.281628665,339,339,15.02271237,3.222018525
alr0653,alr0653,1417,755985,757402,101,101,4.159082575,76,76,3.395130329,-1.225014115,295,295,11.73856139,2.822392,153,153,6.048076957,1.454185352
alr1121,alr1121,5899,1312983,1318882,101,101,0.999054078,101,101,1.083816319,1.084842495,160,160,1.529340875,1.530788882,221,221,2.098503054,2.100489953
psaM,asr4657,223,5558799,5559022,100,100,26.16623011,73,73,20.721954,-1.262729862,135,135,34.13434826,1.30451915,126,126,31.64910332,1.209540051
all5339,all5339,700,6371688,6372388,100,100,8.335813307,67,67,6.058839817,-1.375810148,113,113,9.10213166,1.091930844,111,111,8.882202431,1.065547188
desC (Nostoc_chromosome 1879628..1880547),all1599,919,1879628,1880547,100,100,6.349368134,87,87,5.992615998,-1.059531953,176,176,10.79841132,1.700706447,160,160,9.752146107,1.535923875
all2260,all2260,1003,2719486,2720489,100,100,5.817616466,79,79,4.985846072,-1.166826328,155,155,8.71351684,1.497781246,158,158,8.823723324,1.516724826
alr2576,alr2576,1012,3078805,3079817,100,100,5.76587877,83,83,5.191708356,-1.110593734,189,189,10.53037898,1.82632681,173,173,9.57549687,1.66071769
ruvB,all2894,1201,3532794,3533995,100,100,4.858509005,105,106,5.586960051,1.149933044,155,155,7.276983673,1.497781246,138,138,6.43623373,1.324734342
alr1492,alr1492,1558,1756459,1758017,100,100,3.745230626,93,93,3.778576362,1.00890352,195,195,7.057158438,1.884305439,170,170,6.111913456,1.631919117
all2436,all2436,1888,2929155,2931043,100,100,3.090608747,107,107,3.587521363,1.160781469,212,212,6.331353769,2.048578221,237,237,7.031404524,2.27508724
all2533,all2533,2170,3037914,3040084,100,100,2.688972035,85,85,2.47954446,-1.084462117,178,178,4.625119713,1.720032657,162,162,4.181682051,1.555122923
all3288,all3288,3256,3963306,3966562,100,100,1.792097455,74,74,1.438666171,-1.245665945,80,80,1.385378044,-1.29358009,72,72,1.238636371,-1.446830965
asl0171,asl0171,346,181349,181695,99,114,19.22537289,52,63,11.52596135,-1.668006018,82,101,16.45917204,-1.168064398,38,48,7.770712953,-2.47408095
all4287,all4287,514,5141634,5142148,99,99,11.23875218,122,122,15.02482491,1.33687661,184,184,20.18447295,1.795970996,241,241,26.26332159,2.336853875
mutT (Nostoc_chromosome 4702283..4702830),all3899,547,4702283,4702830,99,99,10.56072874,66,66,7.637818209,-1.382689199,193,193,19.8944846,1.883817403,217,217,22.2212321,2.104138137
alr3228,alr3228,841,3898618,3899459,99,99,6.868868754,71,71,5.344105967,-1.28531672,161,161,10.79425292,1.571474621,132,132,8.79171626,1.279936562
all1762,all1762,997,2117621,2118618,99,99,5.794100925,52,52,3.301572918,-1.754951676,182,182,10.29292811,1.776449572,138,138,7.753176239,1.338115497
all0850,all0850,1045,977077,978122,99,99,5.527960404,92,92,5.572938431,1.00813646,69,69,3.723021207,-1.484804973,78,78,4.180941012,-1.322180913
all1895,all1895,1183,2264324,2265507,99,99,4.883109571,76,76,4.066694569,-1.20075641,116,116,5.5288646,1.132242584,66,66,3.125035239,-1.562577442
all4609,all4609,1231,5510982,5512213,99,99,4.692703998,81,81,4.165236583,-1.126635644,417,417,19.10032301,4.070216876,385,385,17.51855999,3.733148307
argG,alr4798,1303,5716694,5717997,99,99,4.433398789,71,71,3.449265632,-1.28531672,591,591,25.57441892,5.768580753,718,718,30.86567341,6.96207918
alr7232,alr7232,1855,246851,248706,99,276,8566.73549,91,650,17897.86049,2.089227631,158,235,6667.612427,-1.284828053,81,155,4803.009225,-1.783618371
all0796,all0796,1900,919941,921841,99,99,3.040378222,81,81,2.69863486,-1.126635644,111,111,3.294064416,1.083439025,188,188,5.542426932,1.822939953
asl4317,asl4317,337,5170967,5171304,98,98,16.96845083,44,44,8.264859664,-2.053083962,401,401,67.09299538,3.953984725,240,240,39.89119706,2.35090389
rpl16,all4208,529,5047600,5048129,98,100,11.03037678,92,95,11.36791039,1.03060037,142,149,15.88156535,1.439802617,475,495,52.41375266,4.751764488
alr4271,alr4271,847,5121099,5121946,98,98,6.751319869,79,79,5.904136494,-1.143489802,105,105,6.989861949,1.035332659,136,136,8.993965681,1.332178871
all1075,all1075,985,1258346,1259331,98,98,5.805449674,83,83,5.334019143,-1.08838186,145,145,8.300313225,1.4297451,209,209,11.88518055,2.047245471
alr1956,alr1956,1054,2338708,2339762,98,99,5.480757706,71,71,4.264130093,-1.28531672,50,50,2.674804857,-2.049030863,62,62,3.294934659,-1.66338889
all3941,all3941,1114,4759200,4760314,98,98,5.133184855,67,67,3.807170442,-1.348293945,188,188,9.515582264,1.853738475,203,203,10.20719884,1.988472874
all1639,all1639,1144,1938253,1939397,98,98,4.998573364,102,102,5.643998055,1.12912178,61,61,3.006536774,-1.66256851,37,37,1.811638025,-2.759145754
alr4359,alr4359,1357,5220996,5222353,98,99,4.256977614,72,73,3.405302683,-1.250102564,100,101,4.196664352,-1.014371714,78,78,3.219663491,-1.322180913
alr4806,alr4806,1384,5723504,5724888,98,98,4.131768735,95,95,4.345104476,1.051633031,131,131,5.337008755,1.291700746,227,227,9.187249169,2.223563263
all4127,all4127,1795,4972866,4974661,98,98,3.185720295,72,72,2.539105532,-1.254662421,153,153,4.806065525,1.508627588,115,115,3.58863357,1.126474781
asl0779,asl0779,304,902950,903254,97,100,19.19430696,74,81,16.86646787,-1.138015802,69,72,13.3543152,-1.437311212,46,53,9.765579368,-1.965506217
asl3480,asl3480,316,4198805,4199121,97,97,17.91144695,32,32,6.410259395,-2.794184423,81,81,14.45308797,-1.239281667,177,177,31.37486832,1.751665759
all3977,all3977,613,4792360,4792973,97,97,9.233307073,100,100,10.32647823,1.118394324,80,80,7.358549611,-1.254772688,107,107,9.777302031,1.058916589
alr2426,alr2426,622,2910738,2911360,97,108,10.13163161,62,69,7.022171214,-1.442806121,140,143,12.96308481,1.279466656,54,59,5.313214571,-1.906874167
alr2984,alr2984,817,3625637,3626454,97,98,6.999226351,36,38,2.944247047,-2.377255114,188,192,13.25079337,1.893179719,157,158,10.8325514,1.547678394
btpA,all1221,949,1440686,1441635,97,97,5.964190975,66,66,4.402409442,-1.354756084,80,80,4.753204332,-1.254772688,85,85,5.017050139,-1.188784407
alr3751,alr3751,1267,4528263,4529530,97,97,4.467259065,86,86,4.296695178,-1.03969653,239,239,10.63613879,2.380909331,162,162,7.161996883,1.603219509
all0969,all0969,1732,1129407,1131139,97,97,3.267908335,46,46,1.681212662,-1.943780468,44,44,1.432410509,-2.281404887,38,38,1.228942142,-2.659123016
all7235,all7235,2632,252216,254848,97,97,2121.954361,104,104,2018.269374,-1.051373215,73,73,1459.766437,-1.453625941,73,73,1594.272709,-1.330985816
alr5217,alr5217,643,6227134,6227777,96,96,8.711767562,66,66,6.497490763,-1.340789526,73,73,6.401394567,-1.360917136,83,83,7.230408715,-1.204878992
all3048,all3048,754,3690924,3691678,96,96,7.429265971,84,84,7.052135501,-1.053477485,138,138,10.31978027,1.389071317,195,195,14.48635066,1.949903357
alr2432,alr2432,1024,2924301,2925325,96,96,5.470377483,113,113,6.985398635,1.27695002,183,183,10.07659591,1.842029355,156,156,8.533365933,1.559922685
ccmA (Nostoc_chromosome 869617..870776),all0747,1159,869617,870776,96,96,4.833189424,127,127,6.936381849,1.435156217,178,178,8.659628799,1.791700684,215,215,10.39084226,2.149893445
alr2758,alr2758,1324,3353934,3355258,96,96,4.230865969,121,121,5.785089648,1.367353561,109,109,4.64195817,1.097165026,93,93,3.934510344,-1.075322111
alr1450,alr1450,1480,1708013,1709493,96,96,3.784909826,76,77,3.293379045,-1.149248165,158,158,6.019467601,1.590386001,121,122,4.617361137,1.219939536
alr3807,alr3807,1915,4599443,4601358,96,97,2.955622577,88,88,2.908885334,-1.016067063,191,191,5.623766737,1.902735072,148,150,4.387510904,1.484462508
all2059,all2059,694,2467172,2467866,95,95,7.987486815,67,67,6.111221717,-1.307019641,143,143,11.61821146,1.454551567,59,59,4.761987699,-1.677343017
all2491,all2491,784,2990779,2991563,95,95,7.07055593,102,102,8.235629815,1.164778257,100,100,7.191949795,1.017168928,77,77,5.501364118,-1.285236857
all4680,all4680,958,5580644,5581602,95,95,5.786342223,79,80,5.286122048,-1.094628949,66,66,3.88455376,-1.489577074,96,96,5.613082843,-1.030867063
alr2486,alr2486,1003,2986954,2987957,95,95,5.526735642,69,69,4.354726316,-1.269135014,181,181,10.17513902,1.841075759,157,157,8.767876974,1.586447687
alr0484,alr0484,1027,579099,580126,95,97,5.511214446,59,62,3.821500793,-1.442159702,137,137,7.52164502,1.364789031,126,126,6.872200623,1.246948507
all3869,all3869,1231,4669027,4670258,95,95,4.503099796,76,76,3.908123213,-1.152240999,82,82,3.755938817,-1.198927889,115,115,5.232816619,1.162047668
xseA,all1774,1339,2132306,2133645,95,117,5.098604256,89,114,5.389357366,1.05702602,65,79,3.326666187,-1.532646791,70,92,3.848601797,-1.324793918
alr3339,alr3339,1408,4035025,4036433,95,96,3.978456351,73,76,3.416832156,-1.164369852,114,123,4.925668342,1.238085304,145,152,6.046953948,1.519924668
all1636,all1636,4246,1932369,1936615,95,95,1.305538354,86,86,1.282127365,-1.018259488,82,82,1.088921499,-1.198927889,72,72,0.949835144,-1.374489417
asr0855,asr0855,352,982992,983344,94,94,15.58228738,72,72,12.94799554,-1.20345171,117,117,18.74156735,1.202748152,105,105,16.70868854,1.07228728
cbiO (Nostoc_chromosome 4766721..4767442),alr3949,721,4766721,4767442,94,94,7.607441271,59,59,5.179996366,-1.468619036,376,376,29.40460095,3.865241926,200,200,15.53783334,2.042451961
all3788,all3788,817,4578405,4579222,94,94,6.713543643,81,81,6.275895022,-1.069734854,414,414,28.57202321,4.255878078,149,149,10.21550733,1.521626711
alr4670,alr4670,1093,5570473,5571566,94,94,5.018266383,105,105,6.0810958,1.211792148,116,116,5.98412335,1.192468254,153,153,7.840919532,1.56247575
alr2412,alr2412,2215,2893257,2895472,94,94,2.476282238,62,62,1.771865153,-1.397556825,251,251,6.389438593,2.580254583,159,159,4.020861573,1.623749309
alr4111,alr4111,2251,4952879,4955130,94,94,2.436679323,64,64,1.799770741,-1.353883174,297,297,7.43949856,3.053129925,259,259,6.444956599,2.64497529
alr2800,alr2800,3877,3403445,3407322,94,94,1.414744688,103,103,1.681721714,1.188710393,70,70,1.01804025,-1.389674611,70,70,1.011341822,-1.398878853
asl3322,asl3322,253,4017197,4017450,93,98,22.60224478,81,84,21.01703624,-1.075424933,53,56,12.48044916,-1.811012127,41,42,9.298748405,-2.430676021
asr2120,asr2120,325,2539283,2539608,93,99,17.77451884,53,60,11.68639597,-1.520958119,3,3,0.520475874,-34.15051439,2,2,0.344700857,-51.5650556
all5090,all5090,589,6062359,6062948,93,106,10.50114342,103,115,12.35933926,1.176951763,189,199,19.05024175,1.814111187,206,233,22.15829573,2.110084097
alr0617,alr0617,667,717252,717919,93,93,8.135853768,95,95,9.015928927,1.108172441,150,150,12.68025931,1.558565293,165,165,13.85650932,1.703141394
all5093,all5093,718,6064226,6064944,93,93,7.557958862,74,74,6.524090602,-1.158469329,89,89,6.989212937,-1.081374817,81,81,6.319115634,-1.196046931
alr5242,alr5242,934,6255328,6256262,93,93,5.810079725,77,77,5.218630607,-1.11333416,128,128,7.727264945,1.329975716,160,160,9.595527058,1.651531048
all3866,all3866,1156,4665953,4667109,93,93,4.694303169,103,104,5.69492768,1.213157198,322,335,16.33991085,3.48079582,282,290,14.05192722,2.993400025
all4677,all4677,1480,5578058,5579538,93,93,3.666631394,74,74,3.165065576,-1.158469329,72,72,2.743048527,-1.336699427,86,86,3.254861129,-1.126509319
coxA (Nostoc_chromosome 1105311..1107139),alr0951,1828,1105311,1107139,93,93,2.968607474,85,86,2.978070454,1.003187683,343,343,10.57987748,3.563919303,269,269,8.24274409,2.776636575
alr3059,alr3059,2284,3705859,3708143,93,95,2.42702095,77,79,2.1894937,-1.108485012,1450,1459,36.01819144,14.84049466,984,993,24.35279859,10.034029
alr3120,alr3120,3961,3775826,3779787,93,94,1.384742529,94,94,1.502227539,1.084842495,94,94,1.33809122,-1.034864072,106,106,1.49898315,1.082499539
alr1903,alr1903,4744,2272671,2277415,93,94,1.156189957,166,166,2.215012165,1.915785682,205,205,2.436530715,2.107379241,195,195,2.302425884,1.991390662
rpl29,asl4207,325,5047372,5047697,92,124,22.26303369,59,77,14.9975415,-1.484445547,209,261,45.28140107,2.033927707,531,681,117.3706417,5.271996768
all1367,all1367,655,1621611,1622266,92,92,8.195822549,99,99,9.567679146,1.167384858,124,124,10.67439071,1.302418475,142,142,12.14346911,1.481665695
alr4641,alr4641,712,5544604,5545316,92,92,7.539696306,84,84,7.468132258,-1.00958259,84,84,6.652149518,-1.133422555,112,112,8.811173583,1.168637731
accA,alr5285,1081,6305202,6306283,92,92,4.966016438,67,67,3.923393036,-1.265745336,258,258,13.45726243,2.709870698,254,254,13.16145038,2.650303425
all1980,all1980,1162,2366836,2367998,92,92,4.619848339,68,68,3.704379676,-1.247131434,70,70,3.396679903,-1.360107067,34,34,1.638960614,-2.818767151
all0012,all0012,1300,10129,11429,92,92,4.129433669,86,86,4.187625224,1.014091897,96,96,4.163806995,1.008323981,93,93,4.007147458,-1.030517023
alr1799,alr1799,1309,2160247,2161556,92,92,4.101041841,124,124,5.996457317,1.462179014,55,55,2.369112874,-1.731045357,43,43,1.840028446,-2.228792631
all2008,all2008,1351,2401465,2402816,92,92,3.973548312,65,65,3.045584936,-1.304691347,112,112,4.674394727,1.176377977,118,118,4.892404831,1.231243324
all3736,all3736,1429,4511887,4513316,92,92,3.756657642,52,52,2.303476696,-1.630864184,138,138,5.445146482,1.449465722,59,59,2.31267982,-1.62437429
valS,all1318,3145,1562678,1565823,92,92,1.706920118,105,105,2.113398318,1.238135456,425,425,7.619579242,4.463934289,385,385,6.857026182,4.0171922
alr0600,alr0600,589,698292,698881,91,91,9.015132558,106,106,11.39208662,1.263662686,445,445,42.59978683,4.725364442,281,281,26.72309485,2.964248687
all4688,all4688,988,5594726,5595714,91,91,5.374405948,75,75,4.805261502,-1.11844193,448,448,25.56723593,4.757220832,211,211,11.96248039,2.225823747
all0497,all0497,1021,593128,594149,91,91,5.20069841,60,60,3.719959541,-1.398052412,198,198,10.9345813,2.102521707,100,100,5.486179158,1.054892771
alr1548,alr1548,1039,1807716,1808755,91,91,5.110599689,72,72,4.38661639,-1.165043677,293,293,15.9006465,3.111307374,133,133,7.170209109,1.403007386
opcA,all4018,1480,4837528,4839008,91,91,3.587779106,62,62,2.651811699,-1.352953947,389,390,14.85817952,4.141330635,684,684,25.88750015,7.215466555
all3785,all3785,1687,4573558,4575245,91,91,3.147547763,68,68,2.551564424,-1.233575658,179,179,5.982747282,1.900764573,154,154,5.113301089,1.624534868
all2623,all2623,1861,3131644,3133505,91,91,2.853257967,98,98,3.333438221,1.168291917,126,126,3.81756888,1.337968359,166,166,4.996402798,1.751122
psaX,asr1283,235,1526509,1526744,90,90,22.34707397,72,72,19.39444438,-1.152240999,23,23,5.518520796,-4.049468109,73,73,17.4000592,-1.284310227
asr2665,asr2665,298,3232617,3232915,90,90,17.62269256,223,223,47.36977339,2.687998626,24,24,4.541064676,-3.880740271,8,8,1.503728569,-11.71933082
all1732,all1732,457,2085134,2085591,90,90,11.49138377,56,56,7.756834672,-1.481452713,195,195,24.0591966,2.09367271,200,200,24.51373707,2.133227604
all3579,all3579,568,4324242,4324810,90,90,9.245708422,40,40,4.457838839,-2.074033799,108,108,10.72106995,1.159572578,58,58,5.719728123,-1.616459423
alr4907,alr4907,1021,5853141,5854162,90,90,5.143547878,69,69,4.277953472,-1.202338434,156,156,8.615124659,1.674938168,273,273,14.9772691,2.911855679
alr4129,alr4129,1276,4976828,4978104,90,90,4.115644501,92,92,4.564044404,1.108950106,120,120,5.302653893,1.288413975,190,190,8.340626135,2.026566224
all0781,all0781,1525,903537,905062,90,90,3.443647465,60,60,2.490543404,-1.382689199,41,41,1.515921536,-2.271652842,27,27,0.991721317,-3.472394316
alr1621,alr1621,1804,1908724,1910528,90,90,2.911065623,81,81,2.842242923,-1.024214222,442,442,13.81492228,4.745658142,277,279,8.662901933,2.975852508
alr0583,alr0583,2341,677552,679893,90,91,2.268224296,102,103,2.785149546,1.227898648,147,151,3.636957644,1.603438271,134,134,3.206262774,1.413556313
rps21 (Nostoc_chromosome 969596..969873),asr0843,277,969596,969873,89,89,18.74805664,89,89,20.33868854,1.084842495,204,204,41.52533149,2.214913913,89,89,17.99724238,-1.041718295
rpl18,all4200,463,5044268,5044731,89,103,12.98082375,53,57,7.793034032,-1.66569576,226,245,29.83649496,2.298505514,611,653,79.00015043,6.085911956
all4931,all4931,778,5883106,5883884,89,89,6.675079294,85,85,6.915953058,1.036085529,213,213,15.43699332,2.312630703,137,137,9.863628305,1.477679571
all1826,all1826,817,2191286,2192103,89,89,6.356440258,92,92,7.128177062,1.121410219,96,96,6.625396687,1.042312429,69,69,4.730671181,-1.343665627
alr0445,alr0445,1663,527153,528816,89,89,3.122797168,91,92,3.501936657,1.121410219,97,97,3.288835827,1.053169851,86,86,2.8966894,-1.078057305
alr2326,alr2326,1732,2804394,2806126,89,89,2.998390121,79,79,2.887300006,-1.038475432,165,165,5.371539408,1.791474488,208,208,6.726841198,2.243484312
lysS,all4071,1786,4899266,4901052,89,89,2.907733309,82,82,2.906331212,-1.000482429,291,291,9.187011165,3.159509552,288,288,9.032474855,3.106362893
alr0252,alr0252,1990,271007,272997,89,89,2.609654116,93,93,2.958302498,1.133599461,193,193,5.468483957,2.09548228,267,267,7.515431366,2.879857265
all1322,all1322,2275,1568268,1570543,89,89,2.282730413,69,69,1.91990791,-1.188979118,232,232,5.750019184,2.518921704,96,96,2.363663017,1.035454298
asr3080,asr3080,304,3729509,3729813,88,93,17.85070547,60,67,13.95127589,-1.279503438,109,123,22.8136218,1.27802354,135,158,29.11248189,1.63088691
alr2889,alr2889,607,3527828,3528435,88,88,8.459408562,79,79,8.238556195,-1.026807169,155,155,14.39811761,1.702024143,141,141,13.01146355,1.538105585
alr1315,alr1315,910,1559048,1559958,88,88,5.642704393,49,49,3.408532159,-1.655464619,248,248,15.36643058,2.72323863,134,134,8.24819907,1.461745733
alr4466,alr4466,1012,5352027,5353039,88,88,5.073973317,61,61,3.815592888,-1.329799448,19,19,1.058609527,-4.793054651,56,56,3.099582802,-1.636985892
alr5253,alr5253,1357,6267858,6269215,88,88,3.783980101,87,87,4.058374431,1.072514739,47,47,1.952903213,-1.937617838,61,61,2.517941961,-1.50280672
alr0451,alr0451,1570,532705,534275,88,92,3.419276287,62,64,2.580435629,-1.325077149,280,285,10.23547301,2.993461818,54,55,1.962270004,-1.742510602
alr5249,alr5249,2260,6262044,6264304,88,88,2.272062388,62,62,1.736584652,-1.30835107,220,220,5.488794251,2.415776204,186,186,4.609992651,2.028990346
rpl35,asr3427,298,4135455,4135753,87,93,18.21011565,54,57,12.10796898,-1.503977725,98,105,19.86715796,1.090995705,153,164,30.82643567,1.692819324
asl1749,asl1749,373,2103487,2103860,87,87,13.6099472,67,67,11.37047687,-1.196954829,223,223,33.7099991,2.476864797,100,100,15.01712847,1.103393588
alr4720,alr4720,406,5626556,5626962,87,87,12.50371996,60,60,9.354873624,-1.336599559,85,85,11.80471759,-1.059213815,91,91,12.55483724,1.004088165
alr1159,alr1159,1108,1364500,1365608,87,87,4.581688,102,102,5.827377053,1.271884304,525,525,26.71666548,5.83118394,566,566,28.61359322,6.24520771
alr0786,alr0786,1135,908385,909520,87,87,4.472696303,66,66,3.680957322,-1.215090508,128,128,6.358824192,1.42169818,102,102,5.033847312,1.12546146
alr1414,alr1414,1378,1676921,1678299,87,87,3.683969742,93,93,4.272149471,1.159659218,271,271,11.08875487,3.010001615,386,386,15.69039277,4.259099251
alr4526,alr4526,1444,5417013,5418457,87,93,3.758043257,68,73,3.200135555,-1.174338772,178,185,7.223825473,1.922230528,156,168,6.516851376,1.734107601
alr0642,alr0642,2308,744679,746987,87,87,2.199527861,37,37,1.014795722,-2.167458744,76,76,1.856694699,-1.18464703,66,66,1.60178366,-1.373174116
all1021,all1021,2938,1190742,1193680,87,87,1.727879613,77,77,1.659020077,-1.04150615,312,314,6.026158723,3.487603347,340,341,6.501271688,3.762572136
alr1147,alr1147,3487,1350220,1353707,87,87,1.455838917,61,61,1.107364497,-1.314688091,227,227,3.670596275,2.521292865,164,164,2.634435856,1.809565485
all5100,all5100,5821,6071379,6077200,87,87,0.872102784,55,55,0.598105503,-1.45810861,83,83,0.803976219,-1.08473704,75,75,0.721704465,-1.208393222
all3821,all3821,742,4619946,4620688,86,89,6.998937588,84,85,7.251497951,1.036085529,195,195,14.81813052,2.117197122,184,189,14.26768876,2.038550649
hisC (Nostoc_chromosome 2505610..2506772),alr2092,1162,2505610,2506772,86,86,4.318553882,45,45,2.451427727,-1.761648461,125,125,6.065499827,1.404521049,113,113,5.447133804,1.261332833
alr0652,alr0652,1171,754590,755761,86,86,4.285362605,78,78,4.216483603,-1.016335651,146,146,7.030054153,1.640480585,179,179,8.562328068,1.998040506
all3530,all3530,1360,4252881,4254241,86,86,3.689823243,85,86,4.002877052,1.084842495,97,98,4.063028578,1.101144502,100,101,4.159855007,1.127385984
all3245,all3245,3088,3919374,3922462,86,86,1.625051687,83,84,1.721926868,1.059613599,38,38,0.693855467,-2.342060795,49,49,0.888821428,-1.828321905
rps11,all4192,496,5039599,5040095,85,85,9.999614754,111,111,14.16622093,1.416676669,314,316,35.92262923,3.592401319,692,692,78.14840994,7.815142069
all3021,all3021,619,3663269,3663888,85,85,8.012615376,52,52,5.317719223,-1.506776691,67,67,6.103049093,-1.312887256,135,135,12.21627632,1.524630317
all1339,all1339,958,1590077,1591035,85,91,5.542706761,73,77,5.087892471,-1.08939149,267,280,16.47992504,2.97326302,189,200,11.69392259,2.109785542
alr4504,alr4504,1084,5394182,5395266,85,85,4.575469481,77,77,4.496495376,-1.01756348,191,191,9.93497537,2.171356494,335,335,17.31056539,3.783341898
alr3599,alr3599,1135,4348127,4349262,85,85,4.369875699,58,58,3.234780677,-1.35090324,41,41,2.036810874,-2.145449906,68,68,3.355898208,-1.302147869
all2810,all2810,1210,3419283,3420493,85,85,4.099015635,37,37,1.935659939,-2.117632107,107,107,4.986101524,1.216414371,76,76,3.518227752,-1.165079672
alr0075,alr0075,1576,79238,80814,85,85,3.147086877,60,60,2.409948408,-1.305873132,194,194,6.940779162,2.205461569,84,84,2.985511861,-1.054119703
all3630,all3630,1714,4379750,4381464,85,86,2.927747731,82,88,3.250008993,1.11007139,97,100,3.289666651,1.123616839,141,148,4.83667188,1.652011144
all4179,all4179,1882,5027221,5029103,85,85,2.635392624,90,90,3.02716155,1.148656759,254,254,7.609862457,2.887563086,263,263,7.827658268,2.970205729
all4778,all4778,1984,5692232,5694216,85,85,2.499903688,80,80,2.552472239,1.02102823,218,218,6.195516751,2.478302176,133,133,3.754963339,1.502043201
alr0710,alr0710,5500,820987,826487,85,86,0.912392657,60,66,0.759615738,-1.201123951,80,80,0.820143802,-1.112478878,43,44,0.448111114,-2.036085758
asr0905,asr0905,379,1047663,1048042,84,84,12.93260745,74,74,12.35962283,-1.046359394,400,400,59.50911493,4.601478483,569,569,84.09473076,6.502534857
all4757,all4757,451,5669639,5670090,84,84,10.86797833,54,54,7.579314461,-1.43389991,40,40,5.000876842,-2.173214552,63,63,7.824556585,-1.388957726
alr2465,alr2465,547,2963739,2964286,84,84,8.960618327,81,81,9.373685984,1.04609812,110,110,11.33882542,1.265406583,92,92,9.420983193,1.051376462
all0844,all0844,712,970117,970829,84,84,6.88407054,97,97,8.623914631,1.252734785,100,100,7.919225617,1.150369621,95,95,7.473763307,1.085660477
all4376,all4376,1369,5241580,5242949,84,84,3.580320106,78,78,3.606648867,1.007353745,1952,1952,80.39685773,22.455215,1414,1415,57.89602135,16.17062711
alr3525,alr3525,1378,4247274,4248652,84,84,3.556936302,51,53,2.434665828,-1.460954625,117,117,4.787396014,1.345932456,124,124,5.040437055,1.417072623
all2460,all2460,1381,2956937,2958318,84,84,3.549209431,55,55,2.521051509,-1.407829003,177,177,7.226737792,2.036154229,186,186,7.544231276,2.125608934
alr1668,alr1668,1384,1990520,1991904,84,84,3.541516058,92,92,4.20789065,1.188160827,61,61,2.485172016,-1.425058723,68,70,2.833072431,-1.250061954
all1211,all1211,1441,1427789,1429230,84,84,3.401428331,100,100,4.392873804,1.29147916,88,88,3.443351841,1.012325266,89,89,3.459567064,1.017092447
asl1111,asl1111,334,1301069,1301403,83,83,14.50032195,76,76,14.40389124,-1.006694768,29,29,4.895693729,-2.961852345,20,20,3.354125102,-4.323130924
alr4660,alr4660,565,5561260,5561825,83,83,8.571871737,57,57,6.386150012,-1.34225969,63,63,6.287164323,-1.363392349,66,66,6.543215376,-1.310039674
alr2749,alr2749,571,3348352,3348923,83,83,8.48179953,64,64,7.095068191,-1.195450037,216,216,21.32948417,2.514735711,219,219,21.48343561,2.532886511
